"ID","Year","AMC","AMP","AXO","CHL","CIP","COT","FIS","FOX","GEN","NAL","TET","AZI","MER","SMX"
"07TN08GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB03",2007,0,1,0,0,0,0,1,0,0,0,1,NA,NA,NA
"07TN09GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB08",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN09GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN09GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN10GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN10GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN10GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN10GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN10GB06",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN10GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN10GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN10GB09",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN10GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN11GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07TN12GB02",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN12GB03",2007,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA
