"ID","Year","SOURCE","Drugcode","MIC_SIGN","MIC","Minimum","Maximum"
"17GA02GB01",2017,"Retail Ground Beef","GEN","=",0,0,0
"17GA02GB01",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA02GB01",2017,"Retail Ground Beef","NAL","=",4,4,4
"17GA02GB01",2017,"Retail Ground Beef","STR","=",8,8,8
"17GA02GB01",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA02GB02",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA02GB02",2017,"Retail Ground Beef","AMP","=",4,4,4
"17GA02GB02",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA02GB02",2017,"Retail Ground Beef","AZI","=",8,8,8
"17GA02GB02",2017,"Retail Ground Beef","CHL","=",8,8,8
"17GA02GB02",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA02GB02",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA02GB02",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA02GB02",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA02GB02",2017,"Retail Ground Beef","GEN","<=",0,0,0
"17GA02GB02",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA02GB02",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA02GB02",2017,"Retail Ground Beef","STR","=",4,4,4
"17GA02GB02",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA02GB06",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA02GB06",2017,"Retail Ground Beef","AMP","=",2,2,2
"17GA02GB06",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA02GB06",2017,"Retail Ground Beef","AZI","=",4,4,4
"17GA02GB06",2017,"Retail Ground Beef","CHL","=",4,4,4
"17GA02GB06",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA02GB06",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA02GB06",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA02GB06",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA02GB06",2017,"Retail Ground Beef","GEN","<=",0,0,0
"17GA02GB06",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA02GB06",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA02GB06",2017,"Retail Ground Beef","STR","=",4,4,4
"17GA02GB06",2017,"Retail Ground Beef","TET",">",32,32.1,99999
"17GA03GB04",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA03GB04",2017,"Retail Ground Beef","AMP","=",2,2,2
"17GA03GB04",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA03GB04",2017,"Retail Ground Beef","AZI","=",2,2,2
"17GA03GB04",2017,"Retail Ground Beef","CHL","=",4,4,4
"17GA03GB04",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA03GB04",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA03GB04",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17GA03GB04",2017,"Retail Ground Beef","FOX","=",8,8,8
"17GA03GB04",2017,"Retail Ground Beef","GEN","=",1,1,1
"17GA03GB04",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA03GB04",2017,"Retail Ground Beef","NAL","=",2,2,2
"17GA03GB04",2017,"Retail Ground Beef","STR","=",4,4,4
"17GA03GB04",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA03GB08",2017,"Retail Ground Beef","AMC","=",4,4,4
"17GA03GB08",2017,"Retail Ground Beef","AMP","=",2,2,2
"17GA03GB08",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17GA03GB08",2017,"Retail Ground Beef","AZI","=",4,4,4
"17GA03GB08",2017,"Retail Ground Beef","CHL","=",8,8,8
"17GA03GB08",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17GA03GB08",2017,"Retail Ground Beef","COT","<=",0,0,0
"17GA03GB08",2017,"Retail Ground Beef","FIS","=",32,32,32
"17GA03GB08",2017,"Retail Ground Beef","FOX","=",4,4,4
"17GA03GB08",2017,"Retail Ground Beef","GEN","=",0,0,0
"17GA03GB08",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17GA03GB08",2017,"Retail Ground Beef","NAL","=",1,1,1
"17GA03GB08",2017,"Retail Ground Beef","STR","=",8,8,8
"17GA03GB08",2017,"Retail Ground Beef","TET","<=",4,0,4
"17GA04GB04",2017,"Retail Ground Beef","AMC","=",8,8,8
"17GA04GB04",2017,"Retail Ground Beef","AMP","=",4,4,4
"17GA04GB04",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
